DateTime,SyncDateUTC,Provider,DeviceName
7/22/2023 2:11:34 PM,7/22/2023 2:11:34 PM,Fitbit,Inspire 2
7/22/2023 5:51:59 PM,7/22/2023 5:51:59 PM,Fitbit,Inspire 2
7/24/2023 9:59:34 AM,7/24/2023 9:59:34 AM,Fitbit,Inspire 2
7/24/2023 10:14:54 AM,7/24/2023 10:14:54 AM,Fitbit,Inspire 2
7/24/2023 11:00:38 AM,7/24/2023 11:00:38 AM,Fitbit,Inspire 2
7/24/2023 11:22:56 AM,7/24/2023 11:22:56 AM,Fitbit,Inspire 2
7/24/2023 11:39:33 AM,7/24/2023 11:39:33 AM,Fitbit,Inspire 2
7/24/2023 11:57:03 AM,7/24/2023 11:57:03 AM,Fitbit,Inspire 2
7/24/2023 1:12:38 PM,7/24/2023 1:12:38 PM,Fitbit,Inspire 2
7/24/2023 2:12:51 PM,7/24/2023 2:12:51 PM,Fitbit,Inspire 2
7/24/2023 3:13:40 PM,7/24/2023 3:13:40 PM,Fitbit,Inspire 2
